stad,prijs,m2,color
Amsterdam,460,"21,56","#2196F3"
Rotterdam,360,"13,98","#F44336"
Groningen,310,"14,88","#4CAF50"
Utrecht,370,"17,56","#9C27B0"
DenHaag,350,"15,36","#FF9800"
