stad,prijs,m2,color
Amsterdam,425,"20,42","#2196F3"
Rotterdam,342,"12,79","#F44336"
Groningen,303,"14,22","#4CAF50"
Utrecht,307,"13,47","#9C27B0"
DenHaag,326,"13,88","#FF9800"
